Year,Month,State,Thousand Dollars,Megawatthours,Cents/kWh,mkwh,Year_Month
2001,6,ME,36300,372141,9.75,372.0,2001.6
2001,6,MI,248322,3298512,7.53,3299.0,2001.6
2001,6,MN,111543,1672545,6.67,1673.0,2001.6
2001,6,MO,164794,2356599,6.99,2357.0,2001.6
2001,6,MS,72877,1024295,7.11,1024.0,2001.6
2001,6,MT,18291,328962,5.56,329.0,2001.6
2001,6,NC,216837,3386970,6.4,3387.0,2001.6
2001,6,ND,14926,238271,6.26,238.0,2001.6
2001,6,NE,38784,645108,6.01,645.0,2001.6
2001,6,NH,34945,334623,10.44,335.0,2001.6
2001,6,NJ,288382,3042728,9.48,3043.0,2001.6
2001,6,NM,47462,623086,7.62,623.0,2001.6
2001,6,NV,51983,591378,8.79,591.0,2001.6
2001,6,NY,665681,5232500,12.72,5232.0,2001.6
2001,6,OH,295106,3356411,8.79,3356.0,2001.6
2001,6,OK,92477,1264446,7.31,1264.0,2001.6
2001,6,OR,63967,1238249,5.17,1238.0,2001.6
2001,6,PA,316056,3359054,9.41,3359.0,2001.6
2001,6,RI,36094,294654,12.25,295.0,2001.6
2001,6,SC,101578,1592234,6.38,1592.0,2001.6
2001,6,SD,16388,233613,7.02,234.0,2001.6
2001,6,TN,141937,2262858,6.27,2263.0,2001.6
2001,6,TX,635994,7947008,8.0,7947.0,2001.6
2001,6,UT,40933,711463,5.75,711.0,2001.6
2001,6,VA,157105,2612053,6.01,2612.0,2001.6
2001,6,VT,17936,160201,11.2,160.0,2001.6
2001,6,WA,99881,1950329,5.12,1950.0,2001.6
2001,6,WI,99625,1524749,6.53,1525.0,2001.6
2001,6,WV,30350,552826,5.49,553.0,2001.6
2001,6,WY,13061,235895,5.54,236.0,2001.6
2001,7,AK,18895,184330,10.25,184.0,2001.7
2001,7,AL,121449,1895959,6.41,1896.0,2001.7
2001,7,AR,58427,931586,6.27,932.0,2001.7
2001,7,AZ,166759,2189841,7.62,2190.0,2001.7
2001,7,CA,1239614,8644266,14.34,8644.0,2001.7
2001,7,CO,94255,1702214,5.54,1702.0,2001.7
2001,7,CT,104696,1127045,9.29,1127.0,2001.7
2001,7,DC,68218,729471,9.35,729.0,2001.7
2001,7,DE,25914,335523,7.72,336.0,2001.7
2001,7,FL,495835,6975168,7.11,6975.0,2001.7
2001,7,GA,252604,3747388,6.74,3747.0,2001.7
2001,7,HI,41287,276051,14.96,276.0,2001.7
2001,7,IA,61757,836526,7.38,837.0,2001.7
2001,7,ID,38264,736904,5.19,737.0,2001.7
2001,7,IL,330429,4099057,8.06,4099.0,2001.7
2001,7,IN,129426,2363886,5.48,2364.0,2001.7
2001,7,KS,87687,1344183,6.52,1344.0,2001.7
2001,7,KY,72034,1378887,5.22,1379.0,2001.7
2001,7,LA,124619,1739880,7.16,1740.0,2001.7
2001,7,MA,307823,2142373,14.37,2142.0,2001.7
2001,7,MD,181213,2396598,7.56,2397.0,2001.7
2001,7,ME,38458,253833,15.15,254.0,2001.7
2001,7,MI,248171,3319862,7.48,3320.0,2001.7
2001,7,MN,130008,1845874,7.04,1846.0,2001.7
2001,7,MO,187736,2665100,7.04,2665.0,2001.7
2001,7,MS,80589,1122449,7.18,1122.0,2001.7
2001,7,MT,20628,348833,5.91,349.0,2001.7
2001,7,NC,229046,3581468,6.4,3581.0,2001.7
2001,7,ND,16857,253717,6.64,254.0,2001.7
2001,7,NE,44212,739195,5.98,739.0,2001.7
