Year,Month,State,industrial_usage
2017,2,RI,56
2017,3,RI,64
2017,4,RI,57
2017,5,RI,56
2017,6,RI,68
2017,7,RI,64
2017,8,RI,66
2017,9,RI,63
2017,10,RI,58
2017,11,RI,56
2017,12,RI,55
2018,1,RI,71
2018,2,RI,50
2018,3,RI,60
2018,4,RI,64
2018,5,RI,60
2018,6,RI,65
2018,7,RI,66
2018,8,RI,70
2018,9,RI,57
2018,10,RI,57
2018,11,RI,56
2018,12,RI,59
2019,1,RI,57
2019,2,RI,45
2019,3,RI,65
2019,4,RI,62
2019,5,RI,51
2019,6,RI,58
2019,7,RI,69
2019,8,RI,67
2019,9,RI,54
2019,10,RI,54
2019,11,RI,59
2019,12,RI,56
2020,1,RI,54
2020,2,RI,54
2020,3,RI,48
2020,4,RI,52
2001,1,VT,141
2001,2,VT,132
2001,3,VT,133
2001,4,VT,126
2001,5,VT,134
2001,6,VT,138
2001,7,VT,133
2001,8,VT,145
2001,9,VT,129
2001,10,VT,127
2001,11,VT,132
2001,12,VT,138
2002,1,VT,140
2002,2,VT,134
2002,3,VT,128
2002,4,VT,124
2002,5,VT,133
2002,6,VT,125
2002,7,VT,136
2002,8,VT,141
2002,9,VT,125
2002,10,VT,130
2002,11,VT,136
2002,12,VT,139
2003,1,VT,123
2003,2,VT,117
2003,3,VT,117
2003,4,VT,117
2003,5,VT,119
2003,6,VT,122
2003,7,VT,125
2003,8,VT,124
2003,9,VT,124
2003,10,VT,117
2003,11,VT,125
2003,12,VT,128
2004,1,VT,144
2004,2,VT,133
2004,3,VT,133
2004,4,VT,121
2004,5,VT,123
2004,6,VT,132
2004,7,VT,134
2004,8,VT,137
2004,9,VT,127
2004,10,VT,124
2004,11,VT,132
2004,12,VT,138
2005,1,VT,147
2005,2,VT,133
2005,3,VT,132
2005,4,VT,126
2005,5,VT,133
2005,6,VT,137
2005,7,VT,141
2005,8,VT,144
2005,9,VT,135
2005,10,VT,136
2005,11,VT,135
2005,12,VT,147
2006,1,VT,139
2006,2,VT,136
2006,3,VT,136
2006,4,VT,125
2006,5,VT,135
2006,6,VT,137
2006,7,VT,141
2006,8,VT,135
2006,9,VT,131
2006,10,VT,135
2006,11,VT,133
2006,12,VT,143
2007,1,VT,146
2007,2,VT,135
2007,3,VT,132
2007,4,VT,131
2007,5,VT,137
2007,6,VT,137
2007,7,VT,142
2007,8,VT,133
2007,9,VT,131
2007,10,VT,135
2007,11,VT,132
2007,12,VT,143
2008,1,VT,141
2008,2,VT,130
2008,3,VT,129
2008,4,VT,124
2008,5,VT,126
2008,6,VT,130
2008,7,VT,134
2008,8,VT,131
2008,9,VT,133
2008,10,VT,128
2008,11,VT,132
2008,12,VT,127
2009,1,VT,127
2009,2,VT,113
2009,3,VT,111
2009,4,VT,105
2009,5,VT,109
2009,6,VT,117
2009,7,VT,116
2009,8,VT,124
2009,9,VT,114
2009,10,VT,113
2009,11,VT,112
2009,12,VT,123
2010,1,VT,122
2010,2,VT,119
2010,3,VT,114
2010,4,VT,116
2010,5,VT,119
2010,6,VT,121
2010,7,VT,125
2010,8,VT,127
2010,9,VT,119
2010,10,VT,116
2010,11,VT,118
2010,12,VT,130
2011,1,VT,128
2011,2,VT,114
2011,3,VT,115
2011,4,VT,113
2011,5,VT,115
2011,6,VT,115
2011,7,VT,122
2011,8,VT,120
2011,9,VT,118
2011,10,VT,125
2011,11,VT,110
2011,12,VT,121
2012,1,VT,125
2012,2,VT,119
2012,3,VT,113
2012,4,VT,112
2012,5,VT,113
2012,6,VT,117
2012,7,VT,124
2012,8,VT,116
2012,9,VT,130
2012,10,VT,111
2012,11,VT,114
2012,12,VT,127
2013,1,VT,129
2013,2,VT,117
2013,3,VT,120
2013,4,VT,117
2013,5,VT,119
2013,6,VT,121
2013,7,VT,124
2013,8,VT,117
2013,9,VT,117
2013,10,VT,115
2013,11,VT,121
2013,12,VT,131
2014,1,VT,130
2014,2,VT,110
2014,3,VT,115
2014,4,VT,109
2014,5,VT,114
2014,6,VT,116
2014,7,VT,124
2014,8,VT,122
2014,9,VT,122
2014,10,VT,114
2014,11,VT,115
2014,12,VT,127
2015,1,VT,124
2015,2,VT,113
2015,3,VT,113
2015,4,VT,113
2015,5,VT,120
2015,6,VT,122
2015,7,VT,123
2015,8,VT,125
2015,9,VT,120
2015,10,VT,117
2015,11,VT,117
2015,12,VT,116
2016,1,VT,124
2016,2,VT,130
2016,3,VT,114
2016,4,VT,110
2016,5,VT,123
2016,6,VT,113
2016,7,VT,124
2016,8,VT,126
2016,9,VT,116
2016,10,VT,118
2016,11,VT,116
2016,12,VT,131
2017,1,VT,120
2017,2,VT,114
2017,3,VT,118
2017,4,VT,110
2017,5,VT,118
2017,6,VT,112
2017,7,VT,123
2017,8,VT,123
2017,9,VT,118
2017,10,VT,119
2017,11,VT,121
2017,12,VT,128
2018,1,VT,119
2018,2,VT,110
2018,3,VT,117
2018,4,VT,111
2018,5,VT,114
2018,6,VT,112
2018,7,VT,124
2018,8,VT,123
2018,9,VT,116
2018,10,VT,123
2018,11,VT,116
2018,12,VT,126
2019,1,VT,126
2019,2,VT,103
2019,3,VT,115
2019,4,VT,111
2019,5,VT,109
2019,6,VT,111
2019,7,VT,125
2019,8,VT,113
2019,9,VT,111
2019,10,VT,113
2019,11,VT,117
