YEAR,STATE,Coal,Geothermal,Hydroelectric Conventional,Natural Gas,Nuclear,Other,Other Biomass,Other Gases,Petroleum,Pumped Storage,Solar Thermal and Photovoltaic,Wind,Wood and Wood Derived Fuels,Unnamed: 15,Total
1991.0,NJ,5237132.0,0.0,21598.0,10592907.0,24806606.0,0.0,804765.0,67544.0,2151098.0,-155184.0,0.0,0.0,0.0,0.0,43526466.0
1991.0,NM,22129312.0,0.0,237108.0,2863662.0,0.0,0.0,14128.0,0.0,33012.0,0.0,0.0,0.0,0.0,0.0,25277222.0
1991.0,NV,16365730.0,995408.0,2365050.0,2094971.0,0.0,1568.0,0.0,0.0,242477.0,0.0,0.0,0.0,0.0,0.0,22065204.0
1991.0,NY,26659951.0,0.0,27172120.0,23074027.0,28448293.0,0.0,1660364.0,51520.0,28220555.0,-1007269.0,0.0,0.0,320938.0,0.0,134600499.0
1991.0,OH,117502355.0,0.0,154224.0,364566.0,14832789.0,0.0,324478.0,57312.0,427742.0,0.0,0.0,0.0,373031.0,0.0,134036497.0
1991.0,OK,28404639.0,0.0,1922137.0,18416871.0,0.0,0.0,0.0,106620.0,46069.0,-65352.0,0.0,0.0,268133.0,0.0,49099117.0
1991.0,OR,2814199.0,0.0,41088337.0,1223154.0,1465368.0,0.0,91428.0,0.0,11000.0,0.0,0.0,539.0,750864.0,0.0,47444889.0
1991.0,PA,106028875.0,0.0,1920358.0,2108889.0,57475671.0,107372.0,670825.0,721051.0,4125862.0,-963145.0,0.0,0.0,566951.0,0.0,172762709.0
1991.0,RI,0.0,0.0,9946.0,2749067.0,0.0,0.0,72155.0,0.0,94651.0,0.0,0.0,0.0,0.0,0.0,2925819.0
1991.0,SC,23821335.0,0.0,3111318.0,1081636.0,43108073.0,7945.0,59411.0,5821.0,180889.0,-574257.0,0.0,0.0,1377836.0,0.0,72180007.0
1991.0,SD,2727087.0,0.0,3828116.0,9036.0,0.0,0.0,0.0,0.0,8427.0,0.0,0.0,0.0,0.0,0.0,6572666.0
1991.0,TN,48236733.0,0.0,10872944.0,197260.0,16586744.0,38926.0,36354.0,3153.0,172265.0,-376338.0,0.0,0.0,424765.0,0.0,76192806.0
1991.0,TX,120845051.0,0.0,2224581.0,136442893.0,19799867.0,705801.0,330029.0,3320535.0,1492995.0,0.0,371.0,0.0,1166585.0,0.0,286328708.0
1991.0,UT,28887600.0,186241.0,626965.0,549984.0,0.0,0.0,0.0,203802.0,51314.0,0.0,0.0,0.0,0.0,0.0,30505906.0
1991.0,VA,24821391.0,0.0,1080055.0,1730887.0,23886268.0,0.0,701129.0,0.0,2353996.0,-1037665.0,33.0,0.0,1193000.0,0.0,54729094.0
1991.0,VT,0.0,0.0,1052719.0,95341.0,4108314.0,0.0,0.0,0.0,5244.0,0.0,0.0,0.0,126367.0,0.0,5387985.0
1991.0,WA,7944779.0,0.0,89342397.0,460424.0,4229868.0,3.0,46633.0,97467.0,31164.0,0.0,0.0,0.0,717827.0,0.0,102870562.0
1991.0,WI,34487009.0,0.0,2516633.0,381590.0,10991419.0,0.0,135688.0,0.0,164243.0,0.0,0.0,6.0,680149.0,0.0,49356737.0
1991.0,WV,71867808.0,0.0,1065385.0,58808.0,0.0,198.0,0.0,178489.0,253047.0,0.0,0.0,0.0,0.0,0.0,73423735.0
1991.0,WY,38081345.0,0.0,735932.0,321763.0,0.0,47491.0,0.0,0.0,61417.0,0.0,0.0,0.0,50440.0,0.0,39298388.0
1992.0,AK,495795.0,0.0,918120.0,3214330.0,0.0,0.0,16295.0,0.0,521950.0,0.0,0.0,0.0,131934.0,0.0,5298424.0
1992.0,AL,61160671.0,0.0,10260023.0,1396063.0,19397436.0,0.0,28790.0,328720.0,194866.0,0.0,0.0,0.0,2467853.0,0.0,95234422.0
1992.0,AR,20093600.0,0.0,3377255.0,3426632.0,11325661.0,0.0,14983.0,0.0,52668.0,2692.0,0.0,0.0,1452610.0,0.0,39746101.0
1992.0,AZ,34817088.0,0.0,6620757.0,2975365.0,25608706.0,0.0,0.0,0.0,101915.0,290465.0,0.0,0.0,138431.0,0.0,70552727.0
1992.0,CA,3299510.0,14771487.0,20167410.0,88704787.0,35244336.0,10211.0,2783356.0,2714688.0,1948539.0,-4495.0,399260.0,2863999.0,4252371.0,0.0,177155459.0
1992.0,CO,30247748.0,0.0,1499162.0,1347188.0,0.0,0.0,28173.0,0.0,40888.0,132331.0,0.0,0.0,0.0,0.0,33295490.0
1992.0,CT,3717996.0,0.0,423713.0,1471825.0,16770708.0,0.0,1337177.0,2819.0,5483841.0,3301.0,0.0,0.0,0.0,0.0,29211380.0
1992.0,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73991.0,0.0,0.0,0.0,0.0,0.0,73991.0
1992.0,DE,4003881.0,0.0,0.0,627975.0,0.0,6315.0,0.0,164881.0,2181233.0,0.0,0.0,0.0,0.0,0.0,6984285.0
1992.0,FL,62709653.0,0.0,235604.0,19919616.0,25115956.0,1951858.0,2920768.0,15178.0,28617786.0,0.0,0.0,0.0,2290724.0,0.0,143777143.0
1992.0,GA,59227954.0,0.0,4915318.0,729290.0,27996298.0,0.0,87064.0,0.0,813405.0,483079.0,0.0,0.0,3105821.0,0.0,97358229.0
1992.0,HI,556628.0,2134.0,61123.0,0.0,0.0,0.0,805042.0,62401.0,8334203.0,0.0,0.0,22676.0,254.0,0.0,9844461.0
1992.0,IA,25763013.0,0.0,999665.0,269011.0,3405144.0,0.0,20009.0,0.0,40085.0,0.0,0.0,0.0,0.0,0.0,30496927.0
1992.0,ID,44371.0,0.0,6653977.0,137549.0,0.0,72032.0,8619.0,0.0,2313.0,0.0,0.0,0.0,544143.0,0.0,7463004.0
1992.0,IL,51416591.0,0.0,139308.0,1703597.0,73742321.0,0.0,202394.0,404078.0,437893.0,0.0,0.0,0.0,46.0,0.0,128046228.0
1992.0,IN,96616880.0,0.0,562476.0,1184257.0,0.0,0.0,33471.0,2133416.0,488064.0,0.0,0.0,0.0,0.0,0.0,101018564.0
1992.0,KS,22152736.0,0.0,9768.0,1372392.0,8490658.0,0.0,0.0,0.0,52826.0,0.0,0.0,113.0,0.0,0.0,32078493.0
1992.0,KY,73476309.0,0.0,3767232.0,23832.0,0.0,0.0,0.0,0.0,83886.0,0.0,0.0,0.0,0.0,0.0,77351259.0
1992.0,LA,19840001.0,0.0,656492.0,36977798.0,10355520.0,702002.0,80251.0,1162816.0,1065464.0,0.0,0.0,0.0,2533780.0,0.0,73374124.0
1992.0,MA,11064697.0,0.0,1010856.0,8479397.0,4741968.0,0.0,1681890.0,0.0,13726316.0,-648685.0,0.0,0.0,31216.0,0.0,40087655.0
1992.0,MD,23850470.0,0.0,1824659.0,1077542.0,10663950.0,0.0,329854.0,506572.0,2749511.0,0.0,0.0,0.0,174801.0,0.0,41177359.0
1992.0,ME,559844.0,0.0,3512606.0,24687.0,5357999.0,0.0,409247.0,0.0,2187082.0,0.0,0.0,0.0,3632079.0,0.0,15683544.0
1992.0,MI,63346702.0,0.0,1782271.0,9528639.0,18848731.0,31190.0,330502.0,243754.0,628767.0,-770902.0,0.0,0.0,1352285.0,0.0,95321939.0
1992.0,MN,25701266.0,0.0,1062506.0,645888.0,11166355.0,0.0,525005.0,0.0,648658.0,0.0,0.0,145.0,509061.0,0.0,40258884.0
1992.0,MO,47099235.0,0.0,1481265.0,237779.0,8083975.0,0.0,85.0,0.0,81078.0,-31744.0,0.0,0.0,0.0,0.0,56951673.0
1992.0,MS,7836090.0,0.0,0.0,4735182.0,8173763.0,0.0,0.0,0.0,413903.0,0.0,0.0,0.0,1976025.0,0.0,23134963.0
1992.0,MT,17453833.0,0.0,8270838.0,34569.0,0.0,0.0,0.0,0.0,16956.0,0.0,0.0,50.0,123399.0,0.0,25899645.0
1992.0,NC,58274019.0,0.0,5768453.0,361308.0,22753813.0,225149.0,30506.0,0.0,335046.0,109885.0,0.0,0.0,1677076.0,0.0,89535255.0
1992.0,ND,26960827.0,0.0,1698854.0,13411.0,0.0,0.0,0.0,38523.0,55282.0,0.0,0.0,0.0,0.0,0.0,28766897.0
1992.0,NE,12440175.0,0.0,1075446.0,145492.0,8748468.0,0.0,6435.0,0.0,9482.0,0.0,0.0,0.0,0.0,0.0,22425498.0
1992.0,NH,3187087.0,0.0,1393631.0,57001.0,7868653.0,0.0,164099.0,0.0,1413274.0,0.0,0.0,0.0,1033508.0,0.0,15117253.0
1992.0,NJ,5409083.0,0.0,22380.0,14515031.0,21595097.0,0.0,904189.0,48157.0,1308375.0,-138298.0,0.0,0.0,0.0,0.0,43664014.0
1992.0,NM,25348413.0,0.0,255046.0,2414692.0,0.0,0.0,14128.0,0.0,37159.0,0.0,0.0,0.0,0.0,0.0,28069438.0
1992.0,NV,16443169.0,1177972.0,1985691.0,3392197.0,0.0,20929.0,0.0,0.0,327585.0,0.0,0.0,0.0,0.0,0.0,23347543.0
1992.0,NY,27279703.0,0.0,28056647.0,26849697.0,24154932.0,0.0,1738485.0,91985.0,18319258.0,-1031645.0,0.0,0.0,489862.0,0.0,125948924.0
1992.0,OH,121249946.0,0.0,253165.0,340236.0,14805499.0,0.0,349113.0,73545.0,258124.0,0.0,0.0,0.0,332100.0,0.0,137661728.0
1992.0,OK,30003846.0,0.0,3241701.0,16419444.0,0.0,0.0,1832.0,72380.0,51626.0,-31864.0,0.0,0.0,247483.0,0.0,50006448.0
1992.0,OR,3702081.0,0.0,31718535.0,1527911.0,4572587.0,0.0,93795.0,0.0,10655.0,0.0,0.0,539.0,719271.0,0.0,42345374.0
1992.0,PA,109124697.0,0.0,2577615.0,2707834.0,60132729.0,243730.0,1252363.0,1011223.0,2648000.0,-918889.0,0.0,0.0,626343.0,0.0,179405645.0
1992.0,RI,0.0,0.0,9946.0,4612506.0,0.0,0.0,63834.0,0.0,98919.0,0.0,0.0,0.0,0.0,0.0,4785205.0
1992.0,SC,23677865.0,0.0,3310446.0,271179.0,45536530.0,6027.0,63812.0,17359.0,158187.0,-535497.0,0.0,0.0,1664601.0,0.0,74170509.0
1992.0,SD,2626290.0,0.0,3612010.0,642.0,0.0,0.0,0.0,0.0,7472.0,0.0,0.0,0.0,0.0,0.0,6246414.0
1992.0,TN,51527665.0,0.0,10011047.0,275511.0,15653580.0,79537.0,54764.0,3454.0,129598.0,-421383.0,0.0,0.0,434339.0,0.0,77748112.0
1992.0,TX,121395162.0,0.0,2638164.0,134639387.0,24496392.0,324978.0,340652.0,3527112.0,1628161.0,0.0,369.0,0.0,1301936.0,0.0,290292313.0
1992.0,UT,31552990.0,186369.0,602384.0,631435.0,0.0,0.0,0.0,230326.0,33635.0,0.0,0.0,0.0,0.0,0.0,33237139.0
1992.0,VA,26225034.0,0.0,1089975.0,2475690.0,23334340.0,484.0,759914.0,0.0,1852865.0,-664933.0,11.0,0.0,1278974.0,0.0,56352354.0
1992.0,VT,0.0,0.0,921498.0,63120.0,3734594.0,0.0,0.0,0.0,2688.0,0.0,0.0,0.0,148242.0,0.0,4870142.0
1992.0,WA,9658148.0,0.0,68324659.0,1273763.0,5692379.0,1.0,172810.0,234023.0,25745.0,0.0,0.0,0.0,1100901.0,0.0,86482429.0
1992.0,WI,33833943.0,0.0,2401605.0,379591.0,11207185.0,0.0,162325.0,0.0,155249.0,0.0,0.0,0.0,753503.0,0.0,48893401.0
1992.0,WV,73352552.0,0.0,1271063.0,120856.0,0.0,50.0,0.0,174182.0,241211.0,0.0,0.0,0.0,0.0,0.0,75159914.0
